Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 t of
 CO₂ equivalent",%,kg of CO₂ equivalent,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
124,Canada,603221.87,594872.98,612470.51,615048.51,636374.33,653057.98,674575.22,686114.63,693059.08,707363.77,730681.59,719697.17,723948.36,740245.8,741584.48,729747.17,720516.11,742313.66,722567.97,680493.57,690530.62,702412.98,710108.3,720877.45,721353.74,720380.18,706196.41,713838.21,729349.27,2018,729349.27,20.91,19.67,1992,1975,1993,,2002,1988.0,2016,1981,2002,2001,2003,2016.0,1992.0,1976,-0.013840496200842343,0.029581995806903228,0.0042091822510768725,0.03467339511154974,0.026216723732398233,0.032948437441955754,0.01710618720918926,0.010121413676895293,0.02063992870564521,0.03296439680533815,-0.015033114492456182,0.005906914987591161,0.022511881924837926,0.0018084263362249872,-0.015962186803046282,-0.012649668788712199,0.030252689284074506,-0.02660019754991449,-0.05822898571050696,0.014749661778582342,0.017207578716784473,0.010955549255368352,0.015165503628108425,0.0006607086960481803,-0.0013496291015278295,-0.019689284066643834,0.01082106888648716,0.021729097409901966
140,Central African Republic,,,,,37737.0,,,,,,,,,32263.41,32278.75,32295.57,9756.02,9777.2,9782.46,5201.63,5225.25,,,,,,,,,2010,5225.25,,1.19,2006,1980,1995,,2008,1993.0,2016,2006,,2008,,1996.0,1995.0,1980,,,,,,,,,,,,,,0.00047546121132267626,0.0005210858536963082,-0.6979146056254774,0.00217096725918974,0.0005379863355560282,-0.468269739922269,0.004540884299729102,,,,,,,,
148,Chad,,,,8021.11,,,,,24245.39,23065.11,22880.45,24406.47,22584.31,25714.0,,,,,,,,,,,,,,,,2003,25714.0,,2.74,2004,1989,1994,1997,2009,1994.0,2017,1990,2004,2004,2009,1996.0,1994.0,1999,,,,,,,,,-0.04868059453776569,-0.008006031620920076,0.0666953665684023,-0.07465889167913262,0.13857806592275781,,,,,,,,,,,,,,,
152,Chile,49990.2,,,50171.86,56201.6,,,,,,74101.41,,,,,,78955.19,,,,89416.32,,,101480.59,,,108800.02,,,2016,108800.02,117.64,5.98,1992,1975,1994,1983,2002,1990.0,2017,1981,2005,2005,1997,1997.0,1994.0,1980,,,,0.12018171142150197,,,,,,,,,,,,,,,,,,,,,,,,
156,China,,,,,4057617.0,,,,,,,,,,,8015000.0,,,,,10543331.0,,11895765.0,,12300200.0,,,,,2014,12300200.0,,8.79,1991,1981,1993,,2002,1991.0,2016,1992,2005,2004,1996,1997.0,1993.0,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,118729.57,,,,137475.64,,,,,,147282.17,,,,153884.77,,,,,,,,,,,,,,,2004,153884.77,29.61,3.66,1996,1981,1995,,2001,1993.0,2018,1998,2008,2008,,1999.0,1995.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Comoros,,,,,512.13,,,,,,285.05,,,,,,,,,,,,,,,,,,,2000,285.05,,0.53,1994,1994,1994,,2008,1994.0,2016,1995,,2007,1994,1998.0,1994.0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Congo,,,,,1374.69,,,,,,2065.05,,,,,,,,,,,,,,,,,,,2000,2065.05,,0.66,2007,1983,1996,2000,2007,1994.0,2017,1998,2006,2007,2008,1999.0,1996.0,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Cook Islands,,,,,80.3,,,,,,,,,,,,,,,,,,,,,,,,,1994,80.3,,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,6091.36,,,,,,10794.44,,,,11033.31,,,,,12114.03,,,,,,,,,,,,,,2005,12114.03,98.87,2.83,1995,1975,1994,2007,2002,1991.0,2016,1992,2009,2007,1992,1998.0,1994.0,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Côte d’Ivoire,,,,,24726.54,,,,,,271197.46,,,,,,,,,,,,,,,,,,,2000,271197.46,,16.48,1994,1994,1995,2003,2007,1993.0,2016,1996,2004,2004,1984,1997.0,1994.0,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
